Sub,Group,Phase,Haptic,Time,ActiveTime,MeanMag,RmsMag,IntMag
3,1,1,0,69.5158398946126,58.2586161295573,0.247565910220146,0.484619488318761,12.760022799174
3,1,2,1,64.1761296590169,55.8278541564941,0.25018568833669,0.580216447512309,11.7385842005412
3,1,3,0,77.0671463012695,67.5234120686849,0.175744260350863,0.358952234188716,9.50411526362101
5,1,1,0,148.037457784017,133.552502950033,0.323489497105281,0.659510771433512,37.4300206502279
5,1,2,1,144.789797465007,131.141660054525,0.369035537044207,0.617717226346334,40.3789482116699
5,1,3,0,142.737599690755,125.463241577148,0.247019921739896,0.549571563800176,25.2535909016927
6,2,1,0,212.686790466309,191.2731590271,0.159891460090876,0.293848697096109,21.1782736778259
6,2,2,1,148.794583638509,135.644549051921,0.136806443333626,0.305598537127177,11.8481539090474
6,2,3,0,103.048416137695,83.7716674804688,0.138454250991344,0.339406371116638,9.44144999980927
7,1,1,0,150.826855977376,128.551508585612,0.608775913715363,1.33315462867419,78.3169886271159
7,1,2,1,153.357243855794,138.573420206706,0.204677845040957,0.430893242359161,24.2354154586792
7,1,3,0,123.630205790202,110.759114583333,0.215977360804876,0.478089620669683,17.9389921824137
8,1,1,0,178.920110066732,149.611473083496,0.194425091147423,0.383405566215515,22.3999487559001
8,1,2,1,140.366605122884,112.31320699056,0.143435873091221,0.252989187836647,11.6108849843343
8,1,3,0,102.869097391764,77.6449495951335,0.148575375477473,0.264754777153333,8.56201775868734
9,2,1,0,194.829647064209,170.890613555908,0.301410403102636,0.641231417655945,40.3729586601257
9,2,2,1,191.372782389323,165.311815897624,0.246664876739184,0.445413410663605,29.6024964650472
9,2,3,0,108.338314056396,96.5331726074219,0.355961948633194,0.815645456314087,30.7905178070068
10,1,1,0,291.093841552734,247.997604370117,0.087029921511809,0.163893317182859,11.2614549001058
10,1,2,1,263.219767252604,238.473795572917,0.0460621640086174,0.0738184874256452,2.10641334454219
10,1,3,0,227.993621826172,178.82048034668,0.0635478173693021,0.0995722648998102,3.94959549109141
11,1,1,0,207.332138061523,187.208607991536,0.289268364508947,0.551951636870702,49.0701948801676
11,1,2,1,152.879058837891,124.626421610514,0.160529546439648,0.303790380557378,15.3308308919271
11,1,3,0,129.667266845703,110.440325419108,0.238760923345884,0.519302497307459,24.861764272054
12,2,1,0,156.141662597656,137.014343261719,0.507784605026245,1.02594456076622,67.7626399993896
12,2,2,1,185.335723876953,152.281328837077,0.265703399976095,0.52911036213239,37.9858315785726
12,2,3,0,188.673042297363,163.419006347656,0.167149685323238,0.355008810758591,20.4050807952881
13,2,1,0,241.915721893311,211.551105499268,0.123272900469601,0.222421346232295,16.776954293251
13,2,2,1,219.545725504557,190.257019042969,0.0443867792685827,0.0795526305834452,1.19865131378174
13,2,3,0,197.997604370117,178.063362121582,0.0677507035434246,0.142746472731233,5.81983669102192
